,EquipoAnf,EquipoVis,ResulAnf,ResulVis,Fecha,Estadio,Ciudad,Arbitro,Provincia,tmed,prec
6352,Betis,Osasuna,2,0,2017-03-18,Benito Villamarín,Sevilla,Álvarez Izquierdo,SEVILLA,14.819999999999999,0.0
6353,Alavés,Real Sociedad,1,0,2017-03-18,Mendizorrotza,Vitoria,Del Cerro Grande,ARABA/ALAVA,10.25,0.0
6354,Deportivo de La Coruña,Celta de Vigo,0,1,2017-03-19,Estadio Municipal de Riazor,La Coruña,Martínez Munuera,A CORUÑA,11.011111111111111,0.0
6355,Sporting de Gijón,Granada,3,1,2017-03-19,El Molinón,Gijón,Estrada Fernández,ASTURIAS,11.027272727272727,0.0
6356,Barcelona,Valencia,4,2,2017-03-19,Camp Nou,Barcelona,Hernández Hernández,BARCELONA,13.850000000000001,0.0
6357,Leganés,Málaga,0,0,2017-03-19,Estadio Municipal de Butarque,Leganés,Mateu Lahoz,MADRID,12.991666666666667,0.0
6358,Atlético de Madrid,Sevilla,3,1,2017-03-19,Vicente Calderón,Madrid,Gil Manzano,MADRID,12.991666666666667,0.0
6359,Espanyol,Betis,2,1,2017-03-31,Power8 Stadium,Cornellá de Llobregat,González González,BARCELONA,12.616666666666667,0.8666666666666666
6360,Villarreal,Eibar,2,3,2017-04-01,Estadio de la Cerámica,Villarreal,Ocón Arraiz,CASTELLON,11.525,0.325
6361,Real Sociedad,Leganés,1,1,2017-04-01,Anoeta,San Sebastián,Melero López,GIPUZKOA,10.5,22.75
6362,Málaga,Atlético de Madrid,0,2,2017-04-01,La Rosaleda,Málaga,Trujillo Suárez,MALAGA,19.78,0.0
6363,Osasuna,Athletic Club,1,2,2017-04-01,Estadio El Sadar,Pamplona,Munuera Montero,NAVARRA,9.680000000000001,15.100000000000003
6364,Granada,Barcelona,1,4,2017-04-02,Estadio Nuevo Los Carmenes,Granada,Jaime Latre,GRANADA,12.5,0.05
6365,Real Madrid,Alavés,3,0,2017-04-02,Estadio Santiago Bernabeu,Madrid,Sánchez Martínez,MADRID,9.041666666666668,0.0
6366,Sevilla,Sporting de Gijón,0,0,2017-04-02,Estadio Ramón Sánchez-Pizjuán,Sevilla,Bikandi Garrido,SEVILLA,15.2,0.0
6367,Valencia,Deportivo de La Coruña,3,0,2017-04-02,Camp de Mestalla,Valencia,De Burgos Bengoetxea,VALENCIA,14.728571428571428,0.0
6368,Celta de Vigo,Las Palmas,3,1,2017-04-03,Balaidos,Vigo,Clos Gómez,PONTEVEDRA,13.35,0.0
6369,Athletic Club,Espanyol,2,0,2017-04-04,San Mamés,Bilbao,Martínez Munuera,BIZKAIA,12.76,4.36
6370,Atlético de Madrid,Real Sociedad,1,0,2017-04-04,Vicente Calderón,Madrid,Undiano Mallenco,MADRID,11.533333333333331,0.0
6371,Betis,Villarreal,0,1,2017-04-04,Benito Villamarín,Sevilla,Gil Manzano,SEVILLA,16.04,0.0
6372,Deportivo de La Coruña,Granada,0,0,2017-04-05,Estadio Municipal de Riazor,La Coruña,Del Cerro Grande,A CORUÑA,13.61111111111111,0.0
6373,Sporting de Gijón,Málaga,0,1,2017-04-05,El Molinón,Gijón,Sánchez Martínez,ASTURIAS,10.84,0.0
6374,Barcelona,Sevilla,3,0,2017-04-05,Camp Nou,Barcelona,Clos Gómez,BARCELONA,14.100000000000001,2.1999999999999997
6375,Leganés,Real Madrid,2,4,2017-04-05,Estadio Municipal de Butarque,Leganés,Álvarez Izquierdo,MADRID,10.4,0.0
